Layer,Name,GEOID,Longitude,Latitude,"Uninsured rate (% of residents), 2015-2019","Homicide (crimes), 2017-2021","Major crime (crimes), 2016-2020","Violent crime (crimes), 2016-2020","Eviction rate (% of renter-occupied households), 2018","Severely rent-burdened (% of renter-occupied housing units), 2015-2019","Traffic crashes (number of crashes), 2021","High school graduation rate (% of residents), 2015-2019","College graduation rate (% of residents), 2015-2019","Unemployment rate (%), 2015-2019","Median household income, 2015-2019","Per capita income, 2015-2019","Poverty rate (% of residents), 2015-2019","Demographics, Non-Hispanic White (% of residents), 2016-2020","Population (residents), 2015-2019"
Census tract,Tract 6812,17031681200,-87.6384976,41.7691893,13.7413863,2.2,155.6,61.2,2.54,40.41916168,151,78.55946399,10.63651591,30.18672199,21124.15182,11220.24996,42.03486015,3.63797693,2472
Census tract,Tract 6813,17031681300,-87.6398423,41.7611807,15.79818031,1.807364191,160.8,73.8,2.44,46.34146341,149.9546272,80.87222647,9.487375669,32.33665559,26899.74844,11470.57885,42.9280397,0.552922591,2418
Census tract,Tract 6814,17031681400,-87.6491706,41.7615223,15.37183216,1.992635809,198.4,90.4,3.61,10.38374718,155.0453728,78.12288994,10.06076975,18.83194279,46406.30892,15973.31671,24.38720399,0,2407
Census tract,Tract 6903,17031690300,-87.6290141,41.768669,10.65939514,2.4,184.6,74.8,1.34,40.8847185,242,84.00537634,8.333333333,12.93013556,20343.46512,15597.82338,53.39613287,3.19614711,2443
Census tract,Tract 6904,17031690400,-87.6202084,41.7692587,8.922443377,3,287.8,111.2,2.5,42.44244244,239,83.1959707,20.00915751,14.47619048,25317.16072,20353.01156,33.20650294,0,2939
Census tract,Tract 6905,17031690500,-87.6121031,41.7681794,3.639240506,0.8,83.4,36.4,2.02,34.41295547,109,74.29718876,16.66666667,29.27756654,27741.95665,18540.24854,50.15822785,0,632
Census tract,Tract 6909,17031690900,-87.6103447,41.7621424,5.452843436,1.25,190.2,65,2.57,36.60550459,221,88.11255138,19.34871957,19.14357683,34871.02642,20723.20131,28.01310555,0.591016548,4273
Census tract,Tract 6910,17031691000,-87.6200151,41.7619654,6.826241135,1.6,226.6,68.8,2.33,48.58569052,231,85.36723164,17.74011299,16.23550401,45120.72158,28594.77202,17.64184397,0.190294957,2256
Census tract,Tract 6911,17031691100,-87.6298721,41.7617135,8.182141587,2.8,229.8,94.8,2.23,32.54189944,218,88.75949367,15.5443038,26.08346709,26252.71191,16359.4172,39.59445037,2.341542188,2811
Census tract,Tract 6912,17031691200,-87.6304113,41.7526208,2.376599634,2.4,211.4,73.8,1.77,34.76611884,317,85.63701923,13.34134615,20.85932086,34198.53271,18039.59076,38.50091408,0.36246476,2735
Census tract,Tract 6913,17031691300,-87.6198472,41.7546811,9.543230016,1.6,161,47.4,1.77,36.70212766,239,91.97802198,26.59340659,26.87296417,46327.81597,27496.93134,25.89722675,0,2452
Census tract,Tract 6914,17031691400,-87.6101685,41.7548455,12.87974684,3.4,162.2,51.6,2.36,36.30041725,306,92.05267938,21.52588556,10.57810578,38570.80255,22890.24335,22.03768764,0,3160
Census tract,Tract 6915,17031691500,-87.6002666,41.7550528,8.180894309,2.6,183.4,77.4,3.2,50.08880995,177,81.42123288,13.69863014,39.73429952,18043.83363,14122.36793,40.44715447,2.944015444,1968
Census tract,Tract 7001,17031700100,-87.6953091,41.7535935,15.03467406,1,146.2,37.8,1.7,45.23809524,314,77.94249775,13.38724169,5.343915344,73085.42851,23947.77684,16.99164345,0.71637039,3605
Census tract,Tract 7002,17031700200,-87.723784,41.7529893,10.9032357,0.75,138.4,29.2,2.13,8.085106383,206,78.82632831,19.13825007,11.94221509,75165.49187,24498.28825,13.97882461,8.484475868,6521
Census tract,Tract 7003.01,17031700301,-87.7317117,41.7456225,10.33690658,0.25,104,22.2,0,6.880733945,145,74.20333839,16.0091047,9.034267913,73847.02234,25211.08915,7.626076261,20.55354616,6530
Census tract,Tract 7003.02,17031700302,-87.7313064,41.7383652,4.780671693,0.4,87.8,15.6,0.94,28.30188679,161,79.23819742,15.87982833,10.41819516,70272.41066,27490.56705,8.016514708,24.26935567,5836
