,ADDRESS,CITY,STATE,ZIP,full_address,coords,type
22,845 W Wilson Ave,Chicago,IL,60640,"845 W Wilson Ave, Chicago, IL, 60640","(41.968003546532, -87.654887232778)",warming_centers
23,5440 S Racine Ave,Chicago,IL,60609,"5440 S Racine Ave, Chicago, IL, 60609","(41.79522560459, -87.654973222955)",warming_centers
24,5724 W North Ave,Chicago,IL,60639,"5724 W North Ave, Chicago, IL, 60639","(41.909385967328, -87.768867460517)",warming_centers
25,9525 S Halsted St,Chicago,IL,60628,"9525 S Halsted St, Chicago, IL, 60628","(41.720961701396, -87.643056534378)",warming_centers
26,850 W Addison St,Chicago,IL,60613,"850 W Addison St, Chicago, IL, 60613","(41.947345080718, -87.650960732323)",warming_centers
27,4101 W 79th St,Chicago,IL,60652,"4101 W 79th St, Chicago, IL, 60652","(41.749352804211, -87.724361248113)",warming_centers
28,6871 W Belden Ave,Chicago,IL,60707,"6871 W Belden Ave, Chicago, IL, 60707","(41.921096092371, -87.797287844088)",warming_centers
29,7040 S Cottage Grove Ave,Chicago,IL,60637,"7040 S Cottage Grove Ave, Chicago, IL, 60637","(41.766487809915, -87.605654220377)",warming_centers
30,5400 N Lincoln Ave,Chicago,IL,60625,"5400 N Lincoln Ave, Chicago, IL, 60625","(41.979680367241, -87.692753647699)",warming_centers
31,5701 W Madison St,Chicago,IL,60644,"5701 W Madison St, Chicago, IL, 60644","(41.880161391479, -87.768332671042)",warming_centers
32,11010 S Kedzie Ave,Chicago,IL,60655,"11010 S Kedzie Ave, Chicago, IL, 60655","(41.692985497521, -87.700910498505)",warming_centers
33,2102 W Ogden Ave,Chicago,IL,60612,"2102 W Ogden Ave, Chicago, IL, 60612","(41.870607218318, -87.679074709073)",warming_centers
34,6907 N Clark St,Chicago,IL,60626,"6907 N Clark St, Chicago, IL, 60626","(42.006781595899, -87.673362576821)",warming_centers
35,929 W Buena Ave,Chicago,IL,60613,"929 W Buena Ave, Chicago, IL, 60613","(41.958378193684, -87.653499289251)",warming_centers
36,1915 W 35th St,Chicago,IL,60609,"1915 W 35th St, Chicago, IL, 60609","(41.830351580058, -87.673430993183)",warming_centers
37,5363 W Lawrence Ave,Chicago,IL,60630,"5363 W Lawrence Ave, Chicago, IL, 60630","(41.967562324592, -87.761721768496)",warming_centers
38,5101 S Wentworth Ave,Chicago,IL,60609,"5101 S Wentworth Ave, Chicago, IL, 60609","(41.80181236132, -87.630635163816)",warming_centers
39,2401 E 100th St,Chicago,IL,60617,"2401 E 100th St, Chicago, IL, 60617","(41.713490039789, -87.565418641571)",warming_centers
40,163 E Pearson St,Chicago,IL,60611,"163 E Pearson St, Chicago, IL, 60611","(41.897534902299, -87.622998964466)",warming_centers
41,2505 E 73rd St,Chicago,IL,60649,"2505 E 73rd St, Chicago, IL, 60649","(41.761792625983, -87.562136116164)",warming_centers
42,644 W Belmont Ave,Chicago,IL,60657,"644 W Belmont Ave, Chicago, IL, 60657","(41.940092802456, -87.645684316254)",warming_centers
43,1962 W 95th St,Chicago,IL,60643,"1962 W 95th St, Chicago, IL, 60643","(41.721201982995, -87.671825936185)",warming_centers
44,6435 N California Ave,Chicago,IL,60645,"6435 N California Ave, Chicago, IL, 60645","(41.998212242087, -87.699587919718)",warming_centers
45,6348 S Archer Ave,Chicago,IL,60638,"6348 S Archer Ave, Chicago, IL, 60638","(41.792819235993, -87.780185735388)",warming_centers
46,1000 East 73rd St,Chicago,IL,60619,"1000 East 73rd St, Chicago, IL, 60619","(41.76231423276, -87.60040226851)",warming_centers
47,13281 S. Corliss Ave,Chicago,IL,60827,"13281 S. Corliss Ave, Chicago, IL, 60827","(41.654748194923, -87.602203293403)",warming_centers
48,11071 S Hoyne Ave,Chicago,IL,60643,"11071 S Hoyne Ave, Chicago, IL, 60643","(41.692425806406, -87.674134473545)",warming_centers
49,2353 S Wentworth Ave,Chicago,IL,60616,"2353 S Wentworth Ave, Chicago, IL, 60616","(41.849761420501, -87.631870886234)",warming_centers
50,830 W 119th St,Chicago,IL,60643,"830 W 119th St, Chicago, IL, 60643","(41.67784254808, -87.643516927175)",warming_centers
51,7454 W Balmoral Ave,Chicago,IL,60656,"7454 W Balmoral Ave, Chicago, IL, 60656","(41.978060491792, -87.81330682611)",warming_centers
52,2807 W 55th St,Chicago,IL,60632,"2807 W 55th St, Chicago, IL, 60632","(41.793664598701, -87.694129610404)",warming_centers
53,733 N Kedzie Ave,Chicago,IL,60612,"733 N Kedzie Ave, Chicago, IL, 60612","(41.894693625756, -87.706461802397)",warming_centers
54,4400 W Lawrence Ave,Chicago,IL,60630,"4400 W Lawrence Ave, Chicago, IL, 60630","(41.968151058826, -87.738250349161)",warming_centers
55,3151 W Harrison St,Chicago,IL,60612,"3151 W Harrison St, Chicago, IL, 60612","(41.873635693753, -87.704701391361)",warming_centers
56,7808 S Halsted St,Chicago,IL,60620,"7808 S Halsted St, Chicago, IL, 60620","(41.752273769729, -87.644135305857)",warming_centers
57,3353 W 13th St,Chicago,IL,60623,"3353 W 13th St, Chicago, IL, 60623","(41.864470352773, -87.709657427614)",warming_centers
58,1150 W Fullerton Ave,Chicago,IL,60614,"1150 W Fullerton Ave, Chicago, IL, 60614","(41.92531635057, -87.658066797029)",warming_centers
59,6117 S Kedzie Ave,Chicago,IL,60629,"6117 S Kedzie Ave, Chicago, IL, 60629","(41.782294687023, -87.703156609494)",warming_centers
60,731 E 63rd St,Chicago,IL,60637,"731 E 63rd St, Chicago, IL, 60637","(41.780327339343, -87.607135243381)",warming_centers
